GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,cl.duoc.libroDigital.academicService.validation,AcademicEntityValidator,292,522,84,44,50,126,66,19,5,16
,cl.duoc.libroDigital.academicService.security,AcademicAccessService,183,639,46,74,46,169,56,59,12,43
,cl.duoc.libroDigital.academicService.security,JwtUserPrincipal,18,21,4,0,3,8,5,3,3,3
,cl.duoc.libroDigital.academicService.controller,EvaluationController,38,213,4,6,8,47,6,9,2,8
,cl.duoc.libroDigital.academicService.controller,EnrollmentController,101,192,5,5,22,45,9,8,4,8
,cl.duoc.libroDigital.academicService.controller,TeacherController,42,237,3,3,9,54,6,7,3,7
,cl.duoc.libroDigital.academicService.controller,GuardianController,69,270,2,0,14,68,7,7,6,7
,cl.duoc.libroDigital.academicService.controller,SubjectController,32,166,3,3,6,39,5,6,2,6
,cl.duoc.libroDigital.academicService.controller,CourseController,101,243,10,10,19,49,14,8,4,8
,cl.duoc.libroDigital.academicService.controller,StudentController,99,236,4,2,22,57,8,7,5,7
,cl.duoc.libroDigital.academicService.controller,GradeController,204,319,25,17,39,74,29,8,8,8
,cl.duoc.libroDigital.academicService.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
,cl.duoc.libroDigital.academicService.exception,GlobalExceptionHandler,2,93,5,13,1,23,5,10,0,6
,cl.duoc.libroDigital.academicService.exception,ConflictException,0,4,0,0,0,2,0,1,0,1
,cl.duoc.libroDigital.academicService.exception,ForbiddenException,0,4,0,0,0,2,0,1,0,1
,cl.duoc.libroDigital.academicService.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
,cl.duoc.libroDigital.academicService.util,EmailUtil,0,35,1,9,0,9,1,6,0,2
,cl.duoc.libroDigital.academicService.util,PhoneUtil,5,75,5,19,1,16,5,10,0,3
,cl.duoc.libroDigital.academicService.util,JwtUtil,2,113,3,11,0,31,3,12,0,8
,cl.duoc.libroDigital.academicService.util,TextUtil,0,24,1,7,0,6,1,5,0,2
,cl.duoc.libroDigital.academicService.util,RutUtil,14,140,4,20,2,24,4,10,0,2
,cl.duoc.libroDigital.academicService.service.impl,SubjectServiceImpl,48,101,8,10,5,24,12,7,4,6
,cl.duoc.libroDigital.academicService.service.impl,TeacherServiceImpl,62,131,15,15,3,30,18,8,3,8
,cl.duoc.libroDigital.academicService.service.impl,GradeServiceImpl,91,46,16,0,15,10,13,6,5,6
,cl.duoc.libroDigital.academicService.service.impl,CourseServiceImpl,75,44,16,0,11,11,10,6,2,6
,cl.duoc.libroDigital.academicService.service.impl,EvaluationServiceImpl,40,106,8,8,6,21,13,6,5,6
,cl.duoc.libroDigital.academicService.service.impl,GuardianServiceImpl,56,122,16,16,1,29,17,7,1,7
,cl.duoc.libroDigital.academicService.service.impl,EnrollmentServiceImpl,88,58,14,0,13,15,12,6,5,6
,cl.duoc.libroDigital.academicService.service.impl,StudentServiceImpl,66,137,16,16,3,32,19,8,3,8
,cl.duoc.libroDigital.academicService.service,CatalogLookupService,178,251,40,18,69,58,39,14,7,10
,cl.duoc.libroDigital.academicService.service,EnrollmentNumberService.SequenceParts,0,9,0,0,0,1,0,1,0,1
,cl.duoc.libroDigital.academicService.service,EnrollmentNumberService,0,148,3,21,0,42,3,16,0,7
